* Source:
*
*   http://www.belgocontrol.be/
*
*   AIP Part 2 EN-ROUTE (ENR)
*   ENR 2 AIR TRAFFIC SERVICES AIRSPACE
*    ENR 2.1 FIR, UIR, TMA
*
*   Belgian border data was extracted from
*   http://downloads.cloudmade.com/europe/western_europe/belgium/belgium.poly
*
* Last check: 
*
*   Wim Verhoeve (17 December 2011)
*
* Map List:
* 
*   MAP WEEK           YES
*   MAP WEEKEND        YES
*   MAP WEEKEND_LFAG1  YES
*   MAP WEEKEND_LFAG2  YES
*   MAP WEEKEND_LFAG5  YES
*
* Remark for paragliders:
*   - This is the whole of Belgian airspace => not relevant for paragliding

AC G
AN Brussels FIR
AH FL 195
AL GND
DP 51.165497 N 5.786126 E
DP 51.159897 N 5.782735 E
DP 51.162601 N 5.821724 E
DP 51.165306 N 5.822775 E
DP 51.168694 N 5.828011 E
DP 51.168503 N 5.834126 E
DP 51.164898 N 5.837324 E
DP 51.160198 N 5.839019 E
DP 51.153996 N 5.843267 E
DP 51.145992 N 5.858760 E
DP 51.135006 N 5.843654 E
DP 51.132904 N 5.838118 E
DP 51.131702 N 5.829749 E
DP 51.129299 N 5.824964 E
DP 51.120800 N 5.817068 E
DP 51.114899 N 5.815737 E
DP 51.112091 N 5.819299 E
DP 51.111511 N 5.826337 E
DP 51.109192 N 5.833054 E
DP 51.104195 N 5.836380 E
DP 51.101704 N 5.834363 E
DP 51.100395 N 5.834663 E
DP 51.094601 N 5.822861 E
DP 51.095909 N 5.811274 E
DP 51.093594 N 5.803185 E
DP 51.089108 N 5.800695 E
DP 51.080803 N 5.806081 E
DP 51.072800 N 5.799751 E
DP 51.063896 N 5.801919 E
DP 51.062092 N 5.796297 E
DP 51.065098 N 5.782757 E
DP 51.061405 N 5.779302 E
DP 51.057007 N 5.777950 E
DP 51.044991 N 5.768659 E
DP 51.037502 N 5.764046 E
DP 51.032696 N 5.763574 E
DP 51.029800 N 5.769839 E
DP 51.025208 N 5.774496 E
DP 51.020401 N 5.770569 E
DP 51.013901 N 5.767801 E
DP 51.011303 N 5.767350 E
DP 51.011196 N 5.770719 E
DP 50.992397 N 5.763080 E
DP 50.964008 N 5.725787 E
DP 50.959999 N 5.724993 E
DP 50.956390 N 5.730979 E
DP 50.956200 N 5.737696 E
DP 50.958302 N 5.744455 E
DP 50.959396 N 5.751901 E
DP 50.956390 N 5.757158 E
DP 50.953003 N 5.757308 E
DP 50.941803 N 5.747480 E
DP 50.936092 N 5.741408 E
DP 50.924507 N 5.732224 E
DP 50.915409 N 5.728405 E
DP 50.909100 N 5.723512 E
DP 50.907898 N 5.707161 E
DP 50.906097 N 5.703492 E
DP 50.891396 N 5.693686 E
DP 50.886696 N 5.689673 E
DP 50.882107 N 5.687699 E
DP 50.880409 N 5.681970 E
DP 50.880302 N 5.670168 E
DP 50.872494 N 5.651994 E
DP 50.860092 N 5.647938 E
DP 50.852001 N 5.647509 E
DP 50.836895 N 5.649741 E
DP 50.829597 N 5.652530 E
DP 50.822002 N 5.660491 E
DP 50.819599 N 5.672464 E
DP 50.808701 N 5.691905 E
DP 50.805393 N 5.701067 E
DP 50.789001 N 5.704672 E
DP 50.787693 N 5.703900 E
DP 50.785889 N 5.705230 E
DP 50.782005 N 5.703449 E
DP 50.776600 N 5.699244 E
DP 50.768703 N 5.695531 E
DP 50.763100 N 5.691240 E
DP 50.761105 N 5.691090 E
DP 50.758293 N 5.695424 E
DP 50.758896 N 5.699008 E
DP 50.762802 N 5.706754 E
DP 50.762695 N 5.732353 E
DP 50.778507 N 5.754561 E
DP 50.779495 N 5.761385 E
DP 50.785011 N 5.773444 E
DP 50.779903 N 5.783207 E
DP 50.769497 N 5.790696 E
DP 50.769798 N 5.793378 E
DP 50.760098 N 5.813355 E
DP 50.764004 N 5.832560 E
DP 50.761192 N 5.855863 E
DP 50.769302 N 5.881140 E
DP 50.757607 N 5.899251 E
DP 50.755203 N 5.904744 E
DP 50.762093 N 5.959654 E
DP 50.756409 N 5.999072 E
DP 50.757309 N 6.007075 E
DP 50.756599 N 6.007140 E
DP 50.756901 N 6.011624 E
DP 50.754303 N 6.012139 E
* END Belgian-Dutch border
DP 50:45:15 N 006:01:16 E
* START Belgian-German border
DP 50.725208 N 6.028619 E
DP 50.727394 N 6.028426 E
DP 50.723900 N 6.034927 E
DP 50.717697 N 6.060333 E
DP 50.718597 N 6.078937 E
DP 50.719799 N 6.078830 E
DP 50.718899 N 6.085117 E
DP 50.719498 N 6.085074 E
DP 50.718597 N 6.100738 E
DP 50.708706 N 6.118720 E
DP 50.676907 N 6.149147 E
DP 50.658409 N 6.173780 E
DP 50.652702 N 6.169488 E
DP 50.648304 N 6.177728 E
DP 50.644505 N 6.178050 E
DP 50.644291 N 6.171935 E
DP 50.640301 N 6.166120 E
DP 50.644012 N 6.165841 E
DP 50.643688 N 6.159661 E
DP 50.636993 N 6.168094 E
DP 50.621395 N 6.173093 E
DP 50.631203 N 6.197577 E
DP 50.630493 N 6.199014 E
DP 50.630901 N 6.209958 E
DP 50.624207 N 6.228926 E
DP 50.625408 N 6.259332 E
DP 50.621887 N 6.265748 E
DP 50.620193 N 6.265898 E
DP 50.616394 N 6.278386 E
DP 50.592106 N 6.251564 E
DP 50.593498 N 6.241715 E
DP 50.586998 N 6.232295 E
DP 50.583309 N 6.232660 E
DP 50.586506 N 6.220129 E
DP 50.587105 N 6.220064 E
DP 50.579704 N 6.212146 E
DP 50.574703 N 6.202855 E
DP 50.574402 N 6.196740 E
DP 50.567001 N 6.197469 E
DP 50.562794 N 6.185603 E
DP 50.562492 N 6.179509 E
DP 50.559898 N 6.175647 E
DP 50.550499 N 6.172192 E
DP 50.533096 N 6.180840 E
DP 50.517002 N 6.210344 E
DP 50.502304 N 6.223841 E
DP 50.500912 N 6.246736 E
DP 50.498291 N 6.246994 E
DP 50.498508 N 6.253066 E
DP 50.494797 N 6.253431 E
DP 50.495094 N 6.259503 E
DP 50.498806 N 6.259139 E
DP 50.502693 N 6.264846 E
DP 50.499195 N 6.271262 E
DP 50.499409 N 6.277313 E
DP 50.497799 N 6.298900 E
DP 50.502605 N 6.315100 E
DP 50.493591 N 6.330035 E
DP 50.464302 N 6.342459 E
